,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
23,TTL24086962076014000,1076.219044,-7.96849,,0,JAM_UNCONDITIONAL,0.9,FRC6,0.4,268,1,-1
24,TTR23847482556013001,1104.080754,-8.20067,,0,CLOSURE,1,FRC5,0.5,0,0,-1
25,TTR24415906496044001,962.7054253,-7.02255,,0,TRAFFIC_RESTRICTION,0.6,FRC4,0.6,0,0,-1
26,TTR27252326324013000,271.440688,-1.26201,,0,CLOSURE,1,FRC5,0.5,0,0,-1
28,TTR26080829820021001,427.9529906,-2.56627,,0,ROADWORKS,0.6,FRC5,0.5,7,0.2,-1
29,TTR26510761980011000,327.266144,-1.72722,,0,CLOSURE,1,FRC3,0.7,0,0,-1
32,TTR27783226800019001,129.3377234,-0.07781,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
33,TTR23010759320058000,1234.196053,-9.28497,,0,ROADWORKS,0.6,FRC2,0.8,38,1,-1
34,TTR24897769808030000,840.057137,-6.00048,,0,CLOSURE,1,FRC6,0.4,0,0,-1
35,TTR23316578892076001,1209.276867,-9.07731,,0,ACCIDENT,1,FRC4,0.6,0,0,-1
36,TTR24496694568030001,954.2434734,-6.95203,,0,CLOSURE,1,FRC6,0.4,0,0,-1
37,TTR22430793668053001,1385.1934,-10.54328,,0,ROADWORKS,0.6,FRC5,0.5,0,0,-1
38,TTR24964142040004001,793.795349,-5.61496,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
39,TTR21305471724261000,1693.602517,-13.11335,,0,CLOSURE,1,FRC5,0.5,0,0,-1
40,TTR26600213340010000,317.3463068,-1.64455,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
41,TTR25708600452013000,535.2338395,-3.46028,,0,CLOSURE,1,FRC5,0.5,0,0,-1
42,TTR22032568764010001,1557.350803,-11.97792,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
