,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
2847,TTR39077323700031001,False,160.11344066990927,-0.33428,0.0,CLOSURE,1,FRC7,0.3,,1,0.393144
2848,TTL38018350208003001_1,True,477.8061222493184,-2.98172,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,268,0.1,-100.0
2849,TTR37986610816144000,False,467.3762906900507,-2.8948,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-0.25896
2850,TTR40574839804091000,False,520.4218249787885,-3.33685,0.0,CLOSURE,1,FRC3,0.7,,1,-0.12737000000000004
2851,TTR37770228320022000,False,4.483285641363859,0.96264,0.5,CLOSURE,1,FRC6,0.4,,1,0.772528
2852,TTR40113170224014000,False,510.9484717372086,-3.2579,0.0,CLOSURE,1,FRC6,0.4,,1,-0.17158
2853,TTR36561215444384000,False,422.61359588476483,-2.52178,0.0,ROADWORKS,0.6,FRC0,1,49,0.1,-0.164356
2854,TTL37149842120010011,True,398.61933016776294,-2.32183,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,514,0.3,-100.0
2855,TTR37608622660056000,False,425.2441900836386,-2.5437,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-0.18873999999999996
2856,TTR35822556820081000,False,308.0274831805108,-1.5669,0.0,ROADWORKS,0.6,FRC1,0.9,18,0.1,0.006620000000000029
2857,TTL40384392616011030_3,True,642.6051104195536,-4.35504,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,324,0.2,-100.0
2858,TTL37276804140011006,True,331.5943915770552,-1.76329,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,108,0.1,-100.0
2859,TTR39169636772017001,False,457.7630175509126,-2.81469,0.0,CLOSURE,1,FRC1,0.9,,1,0.017061999999999994
2860,TTR39198506896114001,False,212.68407224787435,-0.77237,0.0,CLOSURE,1,FRC2,0.8,,1,0.40552600000000005
2861,TTR41492411528648001,True,525.2740821784004,-3.37728,0.0,HAZARD,1,FRC0,1,,1,-100.0
2862,TTR36249600708013001,False,255.3166901326464,-1.12764,0.0,CLOSURE,1,FRC5,0.5,,1,0.27447200000000005
2863,TTL36529482596050000,True,300.7617282905682,-1.50635,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,313,0.2,-100.0
2864,TTL37631704376001000,True,458.82335127686105,-2.82353,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,266,0.1,-100.0
2865,TTW39212910972008000,True,581.5938432052506,-3.84662,0.0,JAM_TAIL_WARNING,0.9,FRC0,1,-100,0,-100.0
2866,TTR38679107652164001,False,569.7514297418644,-3.74793,0.0,CLOSURE,1,FRC4,0.6,,1,-0.22958600000000012
2867,TTR39299479496068000,False,486.4531599376658,-3.05378,0.0,CLOSURE,1,FRC4,0.6,,1,-0.09075600000000006
2868,TTR36982489544022000,False,364.7967468306036,-2.03997,0.0,CLOSURE,1,FRC6,0.4,,1,0.07200600000000007
2869,TTR39853479488074000,False,536.3000305580649,-3.46917,0.0,CLOSURE,1,FRC2,0.8,,1,-0.133834
2870,TTR40476744668140000,False,394.0577277118292,-2.28381,0.0,CLOSURE,1,FRC4,0.6,,1,0.06323800000000002
2871,TTL37692297860011009,True,466.45912328523303,-2.88716,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,258,0.1,-100.0
2872,TTL37761547612012001,True,471.8447144149634,-2.93204,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,161,0.1,-100.0
2873,TTL37813509548004003,False,2.035539536314415,0.98304,1.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,269,0.1,0.7166080000000001
2874,TTL37539371004024001,True,456.23737704659675,-2.80198,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,107,0.1,-100.0
2875,TTR38142442776014001,True,110.89610767904135,0.07587,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
2876,TTR37360475452056000,False,445.41337349775944,-2.71178,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-0.22235600000000005
2877,TTR37845242420003000,False,135.80872364483562,-0.13174,0.0,ROADWORKS,0.6,FRC3,0.7,3,0.1,0.253652
2878,TTR38797414828000000,True,486.0306084351056,-3.05026,0.0,TRAFFIC_RESTRICTION,0.6,FRC0,1,-100,0,-100.0
2879,TTR36333272672020000,False,331.0051498478083,-1.75838,0.0,CLOSURE,1,FRC4,0.6,,1,0.16832399999999997
2880,TTL37374908376010026,True,334.37798159623424,-1.78648,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,153,0.1,-100.0
2881,TTR38895520788072000,False,460.3807710086989,-2.83651,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-0.24730200000000008
2882,TTL37853905532018000,False,7.0138126635321445,0.94155,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,275,0.1,0.64831
2883,TTL36431377688015001,True,313.90387229705357,-1.61587,0.0,JAM_UNCONDITIONAL,0.9,FRC7,0.3,236,0.1,-100.0
2884,TTR39489915620015000,False,525.3208322803973,-3.37767,0.0,CLOSURE,1,FRC7,0.3,,1,-0.21553400000000006
2885,TTR39807311852005000,False,548.8118831956923,-3.57343,0.0,CLOSURE,1,FRC5,0.5,,1,-0.214686
2886,TTR40193956416020000,False,604.2079269592375,-4.03507,0.0,CLOSURE,1,FRC4,0.6,,1,-0.28701400000000016
2887,TTL37467235464123000,True,455.6070036699361,-2.79673,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,469,0.3,-100.0
2888,TTR36275569904014002,False,249.95279054024826,-1.08294,0.0,CLOSURE,1,FRC6,0.4,,1,0.26341200000000004
2889,TTR38537725140083000,False,508.9513081206943,-3.24126,0.0,CLOSURE,1,FRC3,0.7,,1,-0.10825200000000007
2890,TTR37305658184039000,False,335.3089873933861,-1.79424,0.0,CLOSURE,1,FRC7,0.3,,1,0.10115199999999996
2891,TTR37810623980004001,False,5.404227761472357,0.95496,0.5,ROADWORKS,0.6,FRC4,0.6,-100,0,0.530992
2892,TTL39331219384002003_1,True,485.24069796541295,-3.04367,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,142,0.1,-100.0
2893,TTR38125122388015000,False,259.03909442148085,-1.15866,0.0,CLOSURE,1,FRC7,0.3,,1,0.228268
2894,TTR37888504352004000,False,510.4502426839004,-3.25375,0.0,ROADWORKS,0.6,FRC4,0.6,-100,0,-0.41075000000000006
2895,TTL40188193880001001,True,474.28940601963296,-2.95241,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,431,0.3,-100.0
2896,TTL36494861632107000,True,235.3145357856425,-0.96095,0.0,NONLOS_DELAY,0.8,FRC3,0.7,65,0.1,-100.0
2897,TTR39169657368022001,False,170.87482115906963,-0.42396,0.0,CLOSURE,1,FRC6,0.4,,1,0.395208
2898,TTR37810605688014001,False,362.48416782865917,-2.0207,0.0,CLOSURE,1,FRC6,0.4,,1,0.07585999999999998
2899,TTR37888506360036000,False,472.0928069806715,-2.93411,0.0,CLOSURE,1,FRC4,0.6,,1,-0.06682200000000005
2900,TTL38757032800097000,True,235.48389304375513,-0.96237,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,142,0.1,-100.0
2901,TTR39302366108019000,False,467.7860203772943,-2.89822,0.0,ROADWORKS,0.6,FRC3,0.7,-100,0,-0.31964399999999993
