,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
3677,TTR41671309144041000,533.4048550172794,-3.44504,-100.0,0.0,CLOSURE,1,FRC1,0.9,,1,-100.0
3678,TTL39761156564012000,366.1153292680652,-2.05096,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,121,0.1,-100.0
3679,TTR37839471620051000,135.5775636217719,-0.12981,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3680,TTR37475893640026000,419.54566185540307,-2.49621,-100.0,0.0,CLOSURE,1,FRC2,0.8,,1,-100.0
3681,TTR37934672900016000,473.16186068822316,-2.94302,-100.0,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-100.0
3682,TTR40808555772068000,581.9761993574448,-3.8498,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3683,TTR39841939752028000,502.37613679254247,-3.18647,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3684,TTR40118940448010000,518.811003310552,-3.32343,-100.0,0.0,CLOSURE,1,FRC2,0.8,,1,-100.0
3685,TTL37868307820017003_1,483.82366579344574,-3.03186,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,119,0.1,-100.0
3686,TTR38855124320014001,468.2004267933514,-2.90167,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3687,TTR41068252048018000,504.18923032555307,-3.20158,-100.0,0.0,CLOSURE,1,FRC2,0.8,,1,-100.0
3688,TTL37868307820017003_2,483.82366579344574,-3.03186,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,613,0.4,-100.0
3689,TTR37796197000015000,1.267926937619798,0.98943,1.0,1.0,CLOSURE,1,FRC7,0.3,,1,0.8815734298100001
3690,TTL37666329348012001,460.56893283128767,-2.83807,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,216,0.1,-100.0
3691,TTR38803187616012000,451.04419578867976,-2.7587,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3692,TTR35952400552031001,301.7598898523208,-1.51467,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3693,TTR37853904328012000,26.673523173862733,0.77772,0.0,0.0,CLOSURE,1,FRC4,0.6,,1,0.56295445924
3694,TTL38425196612023000,450.0531718355734,-2.75044,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC7,0.3,159,0.1,-100.0
3695,TTR40496934700137000,495.17581170586266,-3.12647,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
3696,TTR39279305708012001,180.4928383052122,-0.50411,-100.0,0.0,TRAFFIC_RESTRICTION,0.6,FRC4,0.6,-100,0,-100.0
3697,TTL41010542944000003,507.9837273650871,-3.2332,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,154,0.1,-100.0
3698,TTL39140799764011000_1,192.30494089601086,-0.60254,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,196,0.1,-100.0
3699,TTR40017950868023001,511.0462857715827,-3.25872,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3700,TTL35557099124001005,320.353905451564,-1.66962,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,114,0.1,-100.0
3701,TTL37816373688082000,415.9942665485364,-2.46662,-100.0,0.0,NONLOS_DELAY,0.8,FRC2,0.8,97,0.1,-100.0
3702,TTR37773113704030000,3.7462155067112834,0.96878,1.0,1.0,CLOSURE,1,FRC6,0.4,,1,0.8947984562600001
3703,TTL37470122624004000,421.43886763529997,-2.51199,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,117,0.1,-100.0
3704,TTR38644503860019001,187.12267213975397,-0.55936,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3705,TTL37902958112014001,13.368645371544186,0.88859,1.0,0.5,JAM_UNCONDITIONAL,0.9,FRC6,0.4,123,0.1,0.6314329295300001
3706,TTL37695203988076000,67.1813039298187,0.44016,0.0,0.0,NONLOS_DELAY,0.8,FRC4,0.6,83,0.1,0.32336064672
3707,TTR38930163808033000,169.66205858561892,-0.41385,-100.0,0.0,CLOSURE,1,FRC1,0.9,,1,-100.0
3708,TTR38497328468100000,519.8288716822701,-3.33191,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3709,TTR39386049732082000,366.6591241131936,-2.05549,-100.0,0.0,CLOSURE,1,FRC2,0.8,,1,-100.0
3710,TTL39642844656019000,507.98523386282704,-3.23321,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,118,0.1,-100.0
3711,TTL38468480520020000,403.56365126039327,-2.36303,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,242,0.1,-100.0
