,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
674,TTR37784655516030001,False,3.681244527878377,0.96932,1.0,CLOSURE,1,FRC6,0.4,,1,0.873864
3003,TTR37784655372030001,False,3.7149282480892967,0.96904,1.0,CLOSURE,1,FRC6,0.4,,1,0.8738080000000001
3702,TTR37773113704030000,False,3.7462155067112834,0.96878,1.0,CLOSURE,1,FRC6,0.4,,1,0.873756
437,TTR37781770116022001,False,3.8014525735240436,0.96832,1.0,CLOSURE,1,FRC6,0.4,,1,0.873664
2123,TTR37781770116023000,False,3.8302014132088056,0.96808,1.0,CLOSURE,1,FRC6,0.4,,1,0.873616
6958,TTR37819280612022000,False,3.9572117075401585,0.96702,1.0,CLOSURE,1,FRC6,0.4,,1,0.8734040000000001
4736,TTR37819280700006001,False,3.990731126542961,0.96674,1.0,CLOSURE,1,FRC6,0.4,,1,0.873348
2950,TTR37784655588030002,False,3.992982005290471,0.96673,1.0,CLOSURE,1,FRC6,0.4,,1,0.873346
3248,TTR37761572128017000,False,5.133685747294136,0.95722,0.5,CLOSURE,1,FRC1,0.9,,1,0.871444
4111,TTR37724061296025000,False,9.227915751205902,0.9231,0.5,CLOSURE,1,FRC1,0.9,,1,0.86462
8535,TTR37724061296009000,False,9.416987258244,0.92153,0.5,CLOSURE,1,FRC1,0.9,,1,0.8643060000000001
528,TTR37724061220025000,False,9.475531066603809,0.92104,0.5,CLOSURE,1,FRC1,0.9,,1,0.864208
4283,TTL37807738796009001,False,0.5084230360966716,0.99576,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,692,0.5,0.8591520000000001
6262,TTR37937583108025001,False,16.498697383378506,0.86251,0.5,CLOSURE,1,FRC1,0.9,,1,0.852502
5078,TTR37937583128033001,False,16.759812678739365,0.86033,0.5,CLOSURE,1,FRC1,0.9,,1,0.8520660000000001
1300,TTR37845249352010001,False,4.781937190732177,0.96015,0.5,CLOSURE,1,FRC2,0.8,,1,0.85203
4561,TTR37845249280010001,False,4.8421686048356145,0.95965,0.5,CLOSURE,1,FRC2,0.8,,1,0.85193
3802,TTL37833707676009003,False,5.9706428573105335,0.95024,0.5,JAM_UNCONDITIONAL,0.9,FRC1,0.9,2643,1.0,0.850048
3558,TTR37721176372042000,False,10.924455558516032,0.90896,0.5,CLOSURE,1,FRC2,0.8,,1,0.841792
4699,TTR37721176324018000,False,11.32795818008244,0.9056,0.5,CLOSURE,1,FRC2,0.8,,1,0.84112
830,TTL37781770152010043_1,False,3.3088206879380886,0.97243,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,541,0.4,0.8344860000000001
4650,TTR37900072904018001,False,15.311437213614578,0.8724,0.5,HAZARD,1,FRC2,0.8,,1,0.83448
6253,TTR37926041400010000,False,16.462838384487544,0.86281,0.5,CLOSURE,1,FRC2,0.8,,1,0.8325619999999999
7694,TTR37926041420010000,False,16.466278634004002,0.86278,0.5,CLOSURE,1,FRC2,0.8,,1,0.832556
1430,TTR37926041356034001,False,16.61556608431119,0.86154,0.5,CLOSURE,1,FRC2,0.8,,1,0.8323079999999999
8241,TTR37833707672035002,False,4.7459610029471175,0.96045,0.5,CLOSURE,1,FRC3,0.7,,1,0.8320900000000001
7450,TTR37822165524051001,False,5.365542647250466,0.95529,0.5,HAZARD,1,FRC3,0.7,,1,0.831058
6432,TTR37758685672058001,False,19.79946331007604,0.835,0.5,CLOSURE,1,FRC2,0.8,,1,0.8270000000000001
6702,TTR37758685600002000,False,19.849549285974213,0.83459,0.5,CLOSURE,1,FRC2,0.8,,1,0.8269179999999999
8772,TTU37741373640027000,False,8.425967350966596,0.92978,0.5,CLOSURE,1,FRC3,0.7,,1,0.825956
8264,TTL37830822304001005_2,False,3.327471659182496,0.97227,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,482,0.3,0.814454
1,TTL37663467832010000,False,16.172796322429488,0.86523,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,2347,1.0,0.813046
7834,TTL37663467832010000_2,False,16.41316479531592,0.86322,0.5,JAM_CONDITIONAL,0.9,FRC2,0.8,1707,1.0,0.812644
1481,TTR37825051216012000,False,4.677222624407405,0.96102,0.5,CLOSURE,1,FRC4,0.6,,1,0.812204
6542,TTR37825051144012000,False,4.715257930765898,0.96071,0.5,CLOSURE,1,FRC4,0.6,,1,0.812142
297,TTR37813509500028001,False,4.981416298809749,0.95849,0.5,CLOSURE,1,FRC4,0.6,,1,0.8116979999999999
5520,TTR37755801076092002,False,5.120023554067949,0.95733,0.5,CLOSURE,1,FRC4,0.6,,1,0.8114659999999999
8223,TTR37761572148012001,False,5.137724644920739,0.95719,0.5,CLOSURE,1,FRC4,0.6,,1,0.811438
961,TTR37793311264012002,False,5.627306532813782,0.95311,0.5,CLOSURE,1,FRC4,0.6,,1,0.8106220000000001
563,TTR37793311332012002,False,5.744864353651873,0.95213,0.5,CLOSURE,1,FRC4,0.6,,1,0.810426
6071,TTR37874102748027000,False,17.890249129205177,0.85091,0.5,CLOSURE,1,FRC3,0.7,,1,0.8101820000000001
1423,TTR37874102820027000,False,17.981159721037724,0.85016,0.5,CLOSURE,1,FRC3,0.7,,1,0.810032
502,TTR37830821832020000,False,6.216799030793443,0.94819,0.5,CLOSURE,1,FRC4,0.6,,1,0.809638
422,TTR37862561876012000,False,7.094788163108893,0.94088,0.5,CLOSURE,1,FRC4,0.6,,1,0.8081759999999999
5251,TTR37862561868004000,False,7.176053882854818,0.9402,0.5,CLOSURE,1,FRC4,0.6,,1,0.80804
1206,TTR37862561936012001,False,7.190610065789142,0.94008,0.5,CLOSURE,1,FRC4,0.6,,1,0.808016
1202,TTR37862561936012000,False,7.31797253689219,0.93902,0.5,CLOSURE,1,FRC4,0.6,,1,0.8078040000000001
8869,TTU37856791776011000,False,19.888065861730002,0.83427,0.5,CLOSURE,1,FRC3,0.7,,1,0.8068540000000001
9143,TTU37859677320011000,False,19.967586925548336,0.8336,0.5,CLOSURE,1,FRC3,0.7,,1,0.80672
7624,TTR37868332820028001,False,9.310645410731848,0.92241,0.5,HAZARD,1,FRC4,0.6,,1,0.804482
4746,TTR37882760056020000,False,10.246635520232312,0.91461,0.5,CLOSURE,1,FRC4,0.6,,1,0.802922
2157,TTR37888530428020000,False,12.20492965732093,0.89829,0.5,CLOSURE,1,FRC4,0.6,,1,0.7996580000000001
5168,TTR37856790532028000,False,12.273788470373974,0.89772,0.5,CLOSURE,1,FRC4,0.6,,1,0.7995439999999999
5676,TTR37888530356020001,False,12.380149343103549,0.89683,0.5,CLOSURE,1,FRC4,0.6,,1,0.799366
8737,TTR37856790460028000,False,12.517302803395728,0.89569,0.5,CLOSURE,1,FRC4,0.6,,1,0.799138
4066,TTR37902957792020000,False,12.984343007306885,0.8918,0.5,CLOSURE,1,FRC4,0.6,,1,0.7983600000000001
177,TTR37911614204052000,False,12.992252359967635,0.89173,0.5,CLOSURE,1,FRC4,0.6,,1,0.798346
